Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
First Choice Bank,19-Aug-11,$141.00 ,$137.20 
First Southern National Bank,19-Aug-11,$164.60 ,$159.70 
Lydian Private Bank,19-Aug-11,"$1,700.00 ","$1,240.00 "
Public Savings Bank,18-Aug-11,$46.80 ,$45.80 
The First National Bank of Olathe,12-Aug-11,$538.10 ,$524.30 
Bank of Whitman,05-Aug-11,$548.60 ,$515.70 
Bank of Shorewood,05-Aug-11,$110.70 ,$104.00 
Integra Bank National Association,29-Jul-11,"$2,200.00 ","$1,900.00 "
BankMeridian,29-Jul-11,$239.80 ,$215.50 
Virginia Business Bank,29-Jul-11,$95.80 ,$85.00 
Bank of Choice,22-Jul-11,"$1,070.00 ",$924.90 
LandMark Bank of Florida,22-Jul-11,$275.00 ,$246.70 
Southshore Community Bank,22-Jul-11,$46.30 ,$45.30 
Summit Bank,15-Jul-11,$72.00 ,$66.40 
First Peoples Bank,15-Jul-11,$228.30 ,$209.70 
High Trust Bank,15-Jul-11,$192.50 ,$189.50 
One Georgia Bank,15-Jul-11,$186.30 ,$162.10 
Signature Bank,08-Jul-11,$66.70 ,$64.50 
Colorado Capital Bank,08-Jul-11,$717.50 ,$672.80 
First Chicago Bank & Trust,08-Jul-11,$959.30 ,$887.50 
Mountain Heritage Bank,24-Jun-11,$103.70 ,$89.60 
First Commercial Bank of Tampa Bay,17-Jun-11,$98.60 ,$92.60 
McIntosh State Bank,17-Jun-11,$339.90 ,$324.40 
Atlantic Bank and Trust,03-Jun-11,$208.20 ,$191.60 
First Heritage Bank,27-May-11,$173.50 ,$163.30 
Summit Bank,20-May-11,$142.70 ,$131.60 
First Georgia Banking Company,20-May-11,$731.00 ,$702.20 
Atlantic Southern Bank,20-May-11,$741.90 ,$707.60 
Coastal Bank,06-May-11,$129.40 ,$123.90 
Community Central Bank,29-Apr-11,$476.30 ,$385.40 
The Park Avenue Bank,29-Apr-11,$953.30 ,$827.70 
First Choice Community Bank,29-Apr-11,$308.50 ,$310.00 
Cortez Community Bank,29-Apr-11,$70.90 ,$61.40 
First National Bank of Central Florida,29-Apr-11,$352.00 ,$312.10 
Heritage Banking Group,15-Apr-11,$224.00 ,$196.20 
Rosemount National Bank,15-Apr-11,$37.60 ,$36.60 
Superior Bank,15-Apr-11,"$3,000.00 ","$2,700.00 "
Nexity Bank,15-Apr-11,$793.70 ,$637.80 
New Horizons Bank,15-Apr-11,$110.70 ,$106.10 
